"product_name_en","product_name_hi","short_name_hi","short_name_en","catalogues","pack_type","mrp","product_cost","brand_discount_type","brand_discount_value","cm_discount_type","original_cm_discount_value","cm_discount_value","marketer","brand_name","fulfillment_model","source","jit_source","super_category","primary_category","sub_category","product_type","ean_code","hsn_code","product_gst","shelf_life_days","original_moq","moq","item_size","delivery_days","lead_days","variant_identifier","discount_type","variant_grammage_unit","variant_grammage","brand_name_hi","variant_identifier_hi","product_images","variant_priority","product_description_md_en","product_description_md_hi","variant_grammage_value","vendor_product_id","is_combo","economic_segment","brand_categorisation","product_weight","return_window_days","replacement_window_days","country_of_origin"
"New Trendy Super Net SilkWomen's Sarees","New Trendy Super Net SilkWomen's Sarees","New Trendy Super Net SilkWomen's Sarees","New Trendy Super Net SilkWomen's Sarees","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","25hw2-Free Size","","","365","3","3","","","","New Trendy Super Net SilkWomen's Sarees N-25hw2","flat_off","","","","New Trendy Super Net SilkWomen's Sarees N-25hw2","https://images.meesho.com/images/products/3615698/1_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Fancy Kanjeevaram Silk  Sarees","Fancy Kanjeevaram Silk  Sarees","Fancy Kanjeevaram Silk  Sarees","Fancy Kanjeevaram Silk  Sarees","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","43cww-Free Size","","","365","3","3","","","","Fancy Kanjeevaram Silk  Sarees F-43cww","flat_off","","","","Fancy Kanjeevaram Silk  Sarees F-43cww","https://images.meesho.com/images/products/6875168/c64c2_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"kANJEEVARAM SILK SAREE","kANJEEVARAM SILK SAREE","kANJEEVARAM SILK SAREE","kANJEEVARAM SILK SAREE","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","3yi10-Free Size","","","365","3","3","","","","kANJEEVARAM SILK SAREE K-3yi10","flat_off","","","","kANJEEVARAM SILK SAREE K-3yi10","https://images.meesho.com/images/products/6648516/521d8_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Attractive Cotton Linen Saree ","Attractive Cotton Linen Saree ","Attractive Cotton Linen Saree ","Attractive Cotton Linen Saree ","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","2fz0o-Free Size","","","365","3","3","","","","Attractive Cotton Linen Saree  A-2fz0o","flat_off","","","","Attractive Cotton Linen Saree  A-2fz0o","https://images.meesho.com/images/products/4104456/1_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","52iqn-Free Size","","","365","3","3","","","","Trendy Cotton Slik Saree T-52iqn","flat_off","","","","Trendy Cotton Slik Saree T-52iqn","https://images.meesho.com/images/products/8515679/4b354_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Attractive Women's Saree ","Attractive Women's Saree ","Attractive Women's Saree ","Attractive Women's Saree ","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","4ttj9-Free Size","","","365","3","3","","","","Attractive Women's Saree  A-4ttj9","flat_off","","","","Attractive Women's Saree  A-4ttj9","https://images.meesho.com/images/products/8109765/2a38c_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Trendy  Sreebutti Jacquard Sarees","Trendy  Sreebutti Jacquard Sarees","Trendy  Sreebutti Jacquard Sarees","Trendy  Sreebutti Jacquard Sarees","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","44x74-Free Size","","","365","3","3","","","","Trendy  Sreebutti Jacquard Sarees T-44x74","flat_off","","","","Trendy  Sreebutti Jacquard Sarees T-44x74","https://images.meesho.com/images/products/6948112/8189e_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Net Silk Saree","Net Silk Saree","Net Silk Saree","Net Silk Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","43pe1-Free Size","","","365","3","3","","","","Net Silk Saree N-43pe1","flat_off","","","","Net Silk Saree N-43pe1","https://images.meesho.com/images/products/6891337/8aba7_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Trendy Classy Women's Saree","Trendy Classy Women's Saree","Trendy Classy Women's Saree","Trendy Classy Women's Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","30c7b-Free Size","","","365","3","3","","","","Trendy Classy Women's Saree T-30c7b","flat_off","","","","Trendy Classy Women's Saree T-30c7b","https://images.meesho.com/images/products/5054663/1_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","gqb7g-Free Size","","","365","3","3","","","","Nylone silk Tie & Dyed saree with zari border N-gqb7g","flat_off","","","","Nylone silk Tie & Dyed saree with zari border N-gqb7g","https://images.meesho.com/images/products/28101436/9e296_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
