sku_id,catalogues,product_status
CM10000026,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000027,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000028,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000029,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000030,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000031,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000032,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000033,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000034,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000035,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000036,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000037,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000038,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000039,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000040,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
